,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id
0,Australian MV-LV Networks,data,True,Team-Nando/MV-LV-Networks,BSD-3,Large-scale three-phase Australian MV distribution networks with pseudo LV networks.,https://github.com/Team-Nando/MV-LV-Networks,https://github.com/Team-Nando/MV-LV-Networks,2024-03-26 03:29:17.000,2024-03-27 00:24:02.000,2024-03-27 00:23:23,9.0,9.0,7.0,1.0,21.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Power Grid Lib - Optimal Power Flow,data,True,power-grid-lib/pglib-opf,CC-BY-4.0,Benchmarks for OPF.,https://github.com/power-grid-lib/pglib-opf,https://power-grid-lib.github.io,2017-06-27 19:02:06.000,2023-07-24 16:17:02.000,2023-07-24 16:12:04,15.0,,79.0,13.0,279.0,1.0,0,True,https://arxiv.org/abs/1908.02788,27.0,11.0,18.0,2023-07-24 16:17:02.000,23.07,8.0,,,,,,,,,,,,,,,,,,,,,,
2,Power Grid Lib - Unit Commitment,data,True,power-grid-lib/pglib-uc,CC-BY-4.0,Benchmarks for UC.,https://github.com/power-grid-lib/pglib-uc,https://power-grid-lib.github.io,2019-08-02 23:31:34.000,2021-10-28 16:15:03.000,2021-09-28 14:57:15,15.0,,26.0,3.0,79.0,3.0,0,True,,5.0,1.0,,2019-08-07 20:35:09.000,19.08,1.0,,,,,,,,,,,,,,,,,,,,,,
3,Power Grid Lib - Optimal Power Flow with HVDC Lines,data,True,power-grid-lib/pglib-opf-hvdc,CC-BY-4.0,Benchmarks for OPF with HVDC.,https://github.com/power-grid-lib/pglib-opf-hvdc,https://power-grid-lib.github.io,2019-08-05 18:59:16.000,2023-10-06 14:38:09.000,2023-10-06 14:35:21,15.0,,4.0,,16.0,2.0,0,True,https://ieeexplore.ieee.org/document/8636236,2.0,1.0,,2023-10-06 14:38:45.000,23.09,2.0,,,,,,,,,,,,,,,,,,,,,,
4,WECC-and-NPCC-Electricity-Economic-Data,data,True,enliten/ENLITEN-Grid-Econ-Data,GPL-3,Economic data on WECC and NPCC.,https://github.com/enliten/ENLITEN-Grid-Econ-Data,https://github.com/enliten/ENLITEN-Grid-Econ-Data,2022-12-05 19:17:45.000,2023-09-06 16:45:21.000,2023-09-06 16:44:52,40.0,,2.0,,5.0,3.0,0,True,,2.0,,,2022-12-06 05:06:06.000,WECC-and-NPCC,1.0,,,,,,,,,,,,,,,,,,,,,,
5,OpenDataElia,data,True,,CC-BY-4.0,Data by opendatasoft.,,https://opendata.elia.be/pages/home/,,,,,,,,,,0,True,https://help.opendatasoft.com/en/home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Data on Energy,data,True,owid/energy-data,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,https://ourworldindata.org/energy,2020-09-08 15:21:25.000,2024-05-08 07:47:51.000,2024-05-08 07:47:47,255.0,9.0,92.0,1.0,256.0,7.0,0,True,,15.0,31.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,COVID-EMDA,data,True,tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53.000,2024-04-23 16:12:16.000,2024-04-23 16:11:59,986.0,5.0,19.0,1.0,58.0,5.0,0,True,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TextbookSimulations,book,True,Power-Systems-Textbook/TextbookSimulations,CC0-1.0,Examples and problems accompanying Daniel Kirschens Power Systems Textbook.,https://github.com/Power-Systems-Textbook/TextbookSimulations,https://github.com/Power-Systems-Textbook/TextbookSimulations,2022-10-12 19:10:15.000,2023-11-08 22:54:41.000,2023-11-08 22:54:34,56.0,,3.0,,8.0,2.0,0,True,,,4.0,,,,,"['julia', 'jupyter']",,,,,,,,,,,,,,,,,,,,,
9,UTK ECE 522 - Power System Analysis II,book,True,CURENT/ece522,MIT,Hands-on Project for Power System Analysis II (UTK ECE 522).,https://github.com/CURENT/ece522,https://ltb.curent.org/,2023-01-18 03:35:44.000,2024-04-07 23:47:16.000,2024-04-07 23:47:16,13.0,2.0,1.0,,3.0,4.0,0,True,,2.0,1.0,,,,,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,
10,ELEC0447 Analysis of Electric Power and Energy Systems,book,True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34.000,2023-12-13 08:14:32.000,2023-12-13 08:14:30,239.0,,5.0,1.0,16.0,6.0,0,True,,3.0,1.0,,,,,"['python', 'jupyter']",,,,,,,,,,,,,,,,,,,,,
11,CVXPY,opl,,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58.000,2024-05-14 20:40:14.000,2024-05-13 18:34:23,3488.0,50.0,1037.0,184.0,5110.0,192.0,38,True,http://www.cvxpy.org/,123.0,877.0,1234.0,2024-05-11 08:21:09.000,1.5.1,127.0,"['gha', 'pypi', 'conda', 'python']",cvxpy,conda-forge/cvxpy,317.0,1178040.0,12142.0,11642.0,https://pypi.org/project/cvxpy,2024-05-11 00:06:26.000,500.0,1156758.0,https://anaconda.org/conda-forge/cvxpy,2024-05-11 12:27:14.462,1000011.0,1.0,,,,,,,
12,Pyomo,opl,,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45.000,2024-05-16 17:34:06.000,2024-05-14 18:45:37,24072.0,972.0,484.0,285.0,1861.0,146.0,37,True,https://pyomo.readthedocs.io/en/stable/,63.0,1938.0,1046.0,2024-05-09 16:01:08.000,6.7.2,65.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",Pyomo,conda-forge/pyomo,2269.0,394223.0,2112.0,1876.0,https://pypi.org/project/Pyomo,2024-05-09 16:00:40.000,236.0,376207.0,https://anaconda.org/conda-forge/pyomo,2024-05-09 18:02:09.618,842840.0,2.0,,,,,,,
13,pandapower,steady-state,,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53.000,2024-05-16 14:13:41.000,2024-05-15 07:32:40,8581.0,314.0,446.0,176.0,773.0,132.0,33,True,https://pandapower.readthedocs.io/en/latest/,48.0,1237.0,741.0,2024-04-02 13:49:51.000,2.14.6,42.0,"['gha', 'pypi', 'conda', 'jupyter', 'python']",pandapower,conda-forge/pandapower,,21887.0,382.0,336.0,https://pypi.org/project/pandapower,2024-04-02 12:52:48.000,46.0,21574.0,https://anaconda.org/conda-forge/pandapower,2024-04-02 13:52:02.030,14063.0,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,90.0,,,
14,OSQP,ops,,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46.000,2024-05-14 13:20:46.000,2024-05-14 13:20:44,2839.0,24.0,344.0,88.0,1575.0,32.0,32,True,https://osqp.org/docs/get_started/,41.0,262.0,254.0,2024-02-05 17:13:54.000,0.6.5,30.0,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r']",osqp,conda-forge/osqp,64301.0,1662494.0,78.0,,https://pypi.org/project/osqp,2024-02-05 17:13:54.000,78.0,1641017.0,https://anaconda.org/conda-forge/osqp,2023-10-06 03:37:44.843,828840.0,1.0,,,,,,,
15,PyPSA,steady-state,,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18.000,2024-05-16 13:48:39.000,2024-05-16 13:48:17,2637.0,134.0,435.0,103.0,1118.0,73.0,32,True,https://pypsa.readthedocs.io/en/latest/,74.0,551.0,244.0,2024-05-08 17:05:05.000,0.28.0,54.0,"['gha', 'pypi', 'conda', 'python', 'jupyter']",pypsa,conda-forge/pypsa,,9221.0,205.0,179.0,https://pypi.org/project/pypsa,2024-05-08 17:05:05.000,26.0,7773.0,https://anaconda.org/conda-forge/pypsa,2024-05-12 10:23:14.569,66612.0,1.0,,,,,,,
16,HiGHS,ops,,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58.000,2024-05-15 20:17:01.000,2024-03-07 12:34:01,9430.0,167.0,157.0,76.0,813.0,63.0,31,True,https://ergo-code.github.io/HiGHS/,31.0,1032.0,566.0,2024-03-07 10:57:49.000,1.7.0,12.0,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c']",highspy,conda-forge/highs,,40122.0,106.0,95.0,https://pypi.org/project/highspy,2024-03-10 14:09:04.000,11.0,39776.0,https://anaconda.org/conda-forge/highs,2023-09-29 08:09:20.148,3464.0,1.0,,,,,-1.0,,
17,PySCIPOpt,ops,,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21.000,2024-05-15 19:04:17.000,2024-05-05 11:30:20,1934.0,89.0,256.0,25.0,754.0,71.0,31,True,https://scipopt.github.io/PySCIPOpt/docs/html/,26.0,343.0,482.0,2024-05-05 08:22:20.000,5.0.1,61.0,"['gha', 'pypi', 'conda', 'python']",PySCIPOpt,conda-forge/pyscipopt,,20508.0,198.0,177.0,https://pypi.org/project/PySCIPOpt,2024-03-05 13:50:53.000,21.0,14551.0,https://anaconda.org/conda-forge/pyscipopt,2024-04-05 15:38:41.667,232330.0,1.0,,,,,,,
18,OpenModelica,cosime,,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29.000,2024-05-16 16:09:38.000,2024-05-16 12:26:57,36726.0,191.0,286.0,1843.0,750.0,188.0,28,True,https://openmodelica.org/useresresources/userdocumentation,52.0,4489.0,5817.0,2024-03-11 07:57:23.000,1.22.3,20.0,['modelica'],,,361.0,369.0,,,,,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2024-05-07 10:08:18.695496,39565.0,,6.0,
19,Ipopt,ops,,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22.000,2024-05-06 09:25:38.655,2024-04-22 10:46:53,2360.0,8.0,265.0,7.0,1307.0,32.0,27,True,https://coin-or.github.io/Ipopt/,42.0,29.0,571.0,2024-04-22 12:48:35.000,releases/3.14.16,31.0,"['pypi', 'conda', 'python']",ipopt,conda-forge/ipopt,12563.0,27346.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1738.0,https://anaconda.org/conda-forge/ipopt,2024-05-06 09:25:38.655,1090165.0,2.0,,,,,,,
20,CVXOPT,opl,,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31.000,2024-03-24 15:20:03.000,2024-03-24 15:20:03,57.0,2.0,205.0,40.0,960.0,9.0,26,True,http://cvxopt.org/userguide/,37.0,66.0,147.0,2023-08-09 14:30:49.000,1.3.2,17.0,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia']",cvxopt,conda-forge/cvxopt,,518011.0,10171.0,9818.0,https://pypi.org/project/cvxopt,2023-08-09 14:30:49.000,353.0,495704.0,https://anaconda.org/conda-forge/cvxopt,2023-09-23 18:21:52.093,959221.0,2.0,,,,,,,
21,precice,cosime,,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22.000,2024-05-16 17:24:54.000,2024-05-16 17:24:54,5098.0,89.0,167.0,202.0,683.0,57.0,26,True,https://precice.org/docs.html,39.0,1184.0,632.0,2024-04-12 14:12:18.000,3.1.0,29.0,"['gha', 'c']",pyprecice,conda-forge/pyprecice,25362.0,1683.0,4.0,,https://pypi.org/project/pyprecice,2024-04-12 14:12:18.000,4.0,482.0,https://anaconda.org/conda-forge/pyprecice,2024-04-12 16:43:50.772,21502.0,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2024-05-16 03:15:00.852720,17379.0,,,
