,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,trending
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2022-12-16 15:37:24.000000,2022-12-16 15:37:20,214,8.0,57,9.0,19.0,6.0,143,7.0,0,True,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28.000000,2022-05-16 00:06:28,979,,17,6.0,,,53,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2022-12-28 19:28:12.000000,2022-12-20 20:25:33,19146,725.0,399,58.0,1543.0,834.0,1386,120.0,36,True,298.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2022-12-09 22:23:30,6.4.4,559.0,120844.0,6.0,1123.0,1123.0,https://pypi.org/project/Pyomo,120789.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2022-12-22 12:06:37.000000,2022-12-22 12:06:37,7193,219.0,381,48.0,917.0,636.0,577,99.0,31,True,146.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2022-12-14 19:19:01,2.11.0,,10841.0,30.0,189.0,189.0,https://pypi.org/project/pandapower,10840.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,86.0,,
4,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2022-12-27 06:48:02.000000,2022-12-27 06:48:02,1706,202.0,317,60.0,305.0,169.0,757,55.0,30,True,55.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2022-12-16 09:27:37,0.21.3,,2871.0,40.0,80.0,80.0,https://pypi.org/project/pypsa,2871.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,
5,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2022-12-26 01:19:06.000000,2022-12-26 01:19:06,35635,303.0,228,54.0,3253.0,5142.0,562,176.0,28,True,1532.0,,,https://openmodelica.org/useresresources/userdocumentation,2022-07-08 22:40:17,1.19.2,341.0,192.0,13.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2022-08-01 14:22:39.762413,17239.0,5.0,
6,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2022-12-24 18:27:35.000000,2022-12-15 15:18:08,7584,145.0,89,23.0,675.0,296.0,447,45.0,25,True,60.0,scikit-highs,,https://ergo-code.github.io/HiGHS/,2022-12-06 23:21:16,1.4.1,,153.0,7.0,5.0,5.0,https://pypi.org/project/scikit-highs,153.0,,1.0,,,,,,1.0
7,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2022-12-26 12:36:01.000000,2022-12-23 11:27:01,4489,41.0,358,82.0,1819.0,1291.0,1855,134.0,24,True,17.0,,,https://jump.dev/JuMP.jl/stable/,2022-12-07 20:25:30,1.5.0,,,47.0,,,,,,3.0,,,,,,-1.0
8,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2022-11-22 08:08:54.000000,2022-11-22 08:08:54,2293,7.0,208,37.0,13.0,506.0,939,22.0,23,True,1.0,ipopt,ipopt,https://coin-or.github.io/Ipopt/,2022-10-11 08:16:53,releases/3.14.10,6039.0,2962.0,16.0,,,https://pypi.org/project/ipopt,2774.0,https://anaconda.org/anaconda/ipopt,3.0,,,,,,
9,precice,cosime,,,precice/precice,https://precice.org/,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22,2022-12-28 06:03:26.000000,2022-12-22 13:02:05,4478,82.0,129,33.0,882.0,477.0,493,46.0,23,True,154.0,pyprecice,pyprecice,https://precice.org/docs.html,2022-08-10 12:48:38,2.5.0,12930.0,461.0,25.0,,,https://pypi.org/project/pyprecice,160.0,https://anaconda.org/anaconda/pyprecice,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2022-08-10 20:09:59.763283,8243.0,,
