,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,trending,new_addition
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-03-06 04:08:54,2023-03-06 04:08:49,224,15.0,64.0,9.0,22.0,7.0,161,7.0,0,True,,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28,2022-05-16 00:06:28,979,,18.0,6.0,,,56,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-03-09 17:53:20,2023-03-09 17:53:20,20150,724.0,409.0,57.0,1614.0,869.0,1458,123.0,36,True,279.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2023-02-16 17:19:00,6.5.0,760.0,135966.0,7.0,1241.0,1241.0,https://pypi.org/project/Pyomo,135908.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-03-09 16:11:58,2023-03-09 16:11:57,7480,306.0,399.0,47.0,977.0,652.0,598,104.0,32,True,160.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-01-02 15:34:50,2.11.1,,16838.0,31.0,212.0,212.0,https://pypi.org/project/pandapower,16837.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,86.0,,,
4,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-03-08 15:50:52,2023-03-08 15:50:52,1787,113.0,323.0,61.0,335.0,179.0,795,58.0,29,True,60.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2023-02-16 09:22:20,0.22.1,,3514.0,42.0,89.0,89.0,https://pypi.org/project/pypsa,3514.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,,
5,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-03-09 18:38:36,2023-03-09 18:38:36,35790,189.0,244.0,53.0,3425.0,5260.0,583,180.0,27,True,1598.0,,,https://openmodelica.org/useresresources/userdocumentation,2023-02-02 13:01:22,1.14.0,346.0,203.0,15.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-01-26 12:25:23.123206,18864.0,5.0,-1.0,
6,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-03-09 17:24:26,2023-02-20 08:41:15,7684,75.0,100.0,23.0,749.0,347.0,494,46.0,26,True,54.0,scikit-highs,,https://ergo-code.github.io/HiGHS/,2023-02-24 14:45:09,1.5.1,,153.0,9.0,11.0,11.0,https://pypi.org/project/scikit-highs,153.0,,1.0,,,,,,1.0,
7,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-03-09 20:21:21,2023-03-09 20:20:52,4573,93.0,363.0,82.0,1911.0,1316.0,1918,137.0,25,True,13.0,,,https://jump.dev/JuMP.jl/stable/,2023-03-07 00:30:18,1.9.0,,,53.0,,,,,,3.0,,,,,,,
8,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2023-02-13 16:23:59,2023-02-13 16:23:59,2307,14.0,216.0,38.0,17.0,521.0,979,25.0,24,True,3.0,ipopt,ipopt,https://coin-or.github.io/Ipopt/,2023-02-07 04:12:31,releases/3.14.11,6750.0,2873.0,17.0,,,https://pypi.org/project/ipopt,2681.0,https://anaconda.org/anaconda/ipopt,3.0,,,,,,,
9,GridCal,steady-state,['python'],,SanPen/GridCal,https://www.advancedgridinsights.com/gridcal,LGPL-3,Cross-platform power systems software.,https://github.com/SanPen/GridCal,2016-01-13 15:40:10,2023-03-09 15:47:42,2023-01-29 10:52:17,2689,58.0,75.0,26.0,96.0,75.0,314,28.0,23,True,,GridCal,,https://gridcal.readthedocs.io/en/latest/?badge=latest,2022-07-24 18:29:15,4.5.5,23.0,1529.0,17.0,5.0,5.0,https://pypi.org/project/GridCal,1529.0,,2.0,,,,,,1.0,
10,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2023-03-08 15:01:52,2023-01-11 11:47:49,2188,19.0,86.0,16.0,154.0,205.0,206,22.0,23,True,49.0,Grid2Op,,https://grid2op.readthedocs.io/en/latest/,2023-01-11 13:01:28,1.8.1,,1223.0,18.0,,,https://pypi.org/project/Grid2Op,1017.0,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,8478.0,1.0,,
11,precice,cosime,,,precice/precice,https://precice.org/,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,2015-05-22 14:05:22,2023-03-09 13:08:51,2023-03-08 18:15:31,4588,120.0,139.0,33.0,923.0,506.0,515,49.0,22,True,158.0,pyprecice,pyprecice,https://precice.org/docs.html,2022-08-10 12:48:38,2.5.0,14467.0,778.0,25.0,,,https://pypi.org/project/pyprecice,456.0,https://anaconda.org/anaconda/pyprecice,3.0,precice/precice,https://hub.docker.com/r/precice/precice,2023-03-09 03:24:34.173807,9039.0,,,
12,Atlite,data,['python'],,PyPSA/atlite,https://pypsa.org,BSD-2,Calculating Renewable Power Potentials.,https://github.com/PyPSA/atlite,2016-11-03 23:59:25,2023-02-22 06:31:37,2023-02-22 06:31:37,550,28.0,54.0,14.0,179.0,75.0,175,23.0,22,True,23.0,atlite,atlite,https://atlite.readthedocs.io/en/master/?badge=master,2023-01-11 12:55:29,0.2.10,,774.0,9.0,17.0,17.0,https://pypi.org/project/atlite,774.0,https://anaconda.org/anaconda/atlite,1.0,,,,,,,
13,HELICS,cosimf,"['python', 'julia']",,GMLC-TDC/HELICS,https://helics.org/tools/,BSD-3,Framework to Integrate Simulators.,https://github.com/GMLC-TDC/HELICS,2017-06-01 17:03:19,2023-03-06 21:18:30,2023-03-02 22:17:04,3413,21.0,34.0,13.0,1882.0,542.0,87,38.0,22,True,67.0,helics,helics,,2023-01-20 21:48:22,3.4.0,17380.0,2181.0,54.0,,,https://pypi.org/project/helics,1897.0,https://anaconda.org/anaconda/helics,1.0,,,,,,,
14,pandapipes,gasnet,['python'],,e2nIEE/pandapipes,https://www.pandapipes.org/,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,2020-02-03 15:04:57,2023-03-08 08:46:56,2023-02-27 09:24:32,1579,274.0,38.0,8.0,383.0,61.0,77,17.0,22,True,40.0,pandapipes,,https://jkpandapipes.readthedocs.io/en/latest/,2023-02-02 15:58:41,0.8.4,,830.0,14.0,6.0,6.0,https://pypi.org/project/pandapipes,830.0,,1.0,,,,,,,
15,Power Grid Model,steady-state,['python'],,alliander-opensource/power-grid-model,https://github.com/alliander-opensource/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/alliander-opensource/power-grid-model,2022-01-20 12:31:31,2023-03-09 12:38:09,2023-03-08 09:26:05,1522,508.0,11.0,4.0,146.0,38.0,62,12.0,22,True,28.0,power-grid-model,,https://power-grid-model.readthedocs.io/en/stable/,2023-03-08 10:28:49,1.4.47,1378.0,13919.0,79.0,2.0,2.0,https://pypi.org/project/power-grid-model,13782.0,,2.0,,,,,,,
16,PYPOWER,steady-state,['python'],,rwl/PYPOWER,rwl.github.io/PYPOWER/api/,BSD,Port of MATPOWER to Python.,https://github.com/rwl/PYPOWER,2009-05-22 12:14:47,2023-03-04 11:03:42,2023-03-04 11:01:41,348,6.0,94.0,25.0,42.0,11.0,251,19.0,21,True,26.0,PYPOWER,pypower,http://rwl.github.io/PYPOWER/index.html,2023-03-04 11:03:42,5.1.16,,2873.0,14.0,76.0,76.0,https://pypi.org/project/PYPOWER,2873.0,https://anaconda.org/anaconda/pypower,2.0,hwanghust/pypower,https://hub.docker.com/r/hwanghust/pypower,2019-05-19 07:28:05.197725,16.0,,2.0,
17,PowerSimulations.jl,steady-state,['julia'],,nrel-siip/powersimulations.jl,https://www.nrel.gov/analysis/siip.html,BSD-3,Optimization of Power Systems; Part of the SIIP at NREL.,https://github.com/NREL-SIIP/PowerSimulations.jl,2017-11-03 21:11:22,2023-03-09 08:58:07,2023-03-09 01:15:14,7420,190.0,44.0,16.0,679.0,232.0,204,29.0,21,True,20.0,,,https://nrel-siip.github.io/PowerSimulations.jl/latest/,2023-03-09 08:47:03,0.18.3,,,74.0,,,,,,2.0,,,,,,,
18,LTB andes,dynamic,"['python', 'jupyter', 'ltb', 'curent']",,CURENT/andes,https://curent.github.io/,GPL-3,Transient Stability Simulator; Part of CURENT LTB.,https://github.com/CURENT/andes,2016-11-07 01:04:50,2023-03-09 18:19:08,2023-02-13 15:09:34,4345,58.0,70.0,14.0,250.0,42.0,151,19.0,21,True,3.0,andes,andes,https://docs.andes.app/en/latest/,2022-03-27 17:07:13,1.6.2,,1161.0,18.0,9.0,9.0,https://pypi.org/project/andes,1160.0,https://anaconda.org/anaconda/andes,1.0,cuihantao/andes,https://hub.docker.com/r/cuihantao/andes,2020-12-10 15:50:41.614180,110.0,,1.0,
19,matpower,steady-state,,,MATPOWER/matpower,https://matpower.org/,BSD-3,Steady state power flow simulation.,https://github.com/MATPOWER/matpower,2016-12-16 19:12:30,2023-03-08 17:59:31,2023-03-08 17:56:19,2299,35.0,130.0,30.0,36.0,121.0,301,12.0,20,True,13.0,matpower,,https://matpower.org/doc/,2020-10-08 23:57:49,7.1,181164.0,3638.0,4.0,,,https://pypi.org/project/matpower,148.0,,3.0,matpower/matpower,https://hub.docker.com/r/matpower/matpower,2022-12-23 05:36:43.825145,541.0,,,
20,PyPSA-Eur,steady-state,['python'],,PyPSA/pypsa-eur,https://pypsa.org,MIT,Optimisation Model of the European Transmission System.,https://github.com/PyPSA/pypsa-eur,2017-10-11 23:54:41,2023-03-09 13:27:12,2023-03-06 15:07:41,1284,111.0,114.0,15.0,318.0,195.0,177,36.0,20,True,112.0,,,https://pypsa-eur.readthedocs.io/en/latest/?badge=latest,2023-02-16 15:06:02,0.7.0,,0.0,10.0,,,,,,3.0,nimfetrisa/pypsa-eur,https://hub.docker.com/r/nimfetrisa/pypsa-eur,2022-04-11 21:54:31.539284,36.0,,,
21,powerplantmatching,data,['python'],,PyPSA/powerplantmatching,https://pypsa.org,BSD-2,Tools to combine multiple power plant databases.,https://github.com/PyPSA/powerplantmatching,2016-08-15 16:36:25,2023-02-13 16:45:07,2023-02-13 16:45:07,781,37.0,38.0,18.0,46.0,47.0,104,17.0,20,True,13.0,powerplantmatching,powerplantmatching,https://atlite.readthedocs.io/en/master/?badge=master,2023-02-13 16:37:22,0.5.6,42.0,327.0,13.0,14.0,14.0,https://pypi.org/project/powerplantmatching,327.0,https://anaconda.org/anaconda/powerplantmatching,3.0,,,,,,,
22,PowerModels.jl,steady-state,['julia'],,lanl-ansi/PowerModels.jl,https://github.com/lanl-ansi/PowerModels.jl,BSD,Power Network Optimization.,https://github.com/lanl-ansi/PowerModels.jl,2016-08-01 20:30:54,2023-02-21 18:36:40,2023-02-21 18:33:10,946,4.0,117.0,23.0,407.0,353.0,306,27.0,18,True,97.0,,,https://lanl-ansi.github.io/PowerModels.jl/stable/,2023-01-07 04:18:20,0.19.8,,,70.0,,,,,,3.0,,,,,,,
23,GridPath,steady-state,['python'],,blue-marble/gridpath,https://www.gridpath.io/,Apache-2,Power system planning and operations.,https://github.com/blue-marble/gridpath,2016-08-12 18:13:28,2023-03-02 19:05:59,2023-01-24 20:38:40,1354,14.0,28.0,9.0,688.0,244.0,67,7.0,18,True,65.0,,,https://gridpath.readthedocs.io/en/latest/?badge=latest,2023-01-24 21:18:20,0.15.0,460.0,13.0,22.0,,,,,,3.0,,,,,,,
24,OpenIPSL,dynamic,,,OpenIPSL/OpenIPSL,https://github.com/OpenIPSL/OpenIPSL,BSD-3,A library of power system models written with Modelica.,https://github.com/OpenIPSL/OpenIPSL,2016-04-16 09:09:47,2023-02-23 13:57:00,2023-02-16 11:34:21,1691,48.0,43.0,19.0,219.0,99.0,56,31.0,18,True,13.0,,,https://doc.openipsl.org,2022-06-23 13:05:59,3.0.1,478.0,5.0,15.0,,,,,,2.0,,,,,,,
25,Easy SimAuto,intf,['python'],,mzy2240/ESA,https://github.com/mzy2240/ESA,Apache-2.0,Python interface to PowerWorld.,https://github.com/mzy2240/ESA,2019-10-08 21:37:23,2023-01-18 19:02:18,2022-12-10 05:02:15,642,3.0,7.0,4.0,13.0,75.0,34,10.0,18,True,8.0,esa,,https://mzy2240.github.io/ESA/html/index.html,2022-12-10 04:28:14,1.3.4,,3417.0,14.0,3.0,3.0,https://pypi.org/project/esa,3417.0,,1.0,,,,,,,
