,name,category,labels,resource,github_id,homepage,license,description,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,docs_url,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,trending
0,Data on Energy,data,['python'],True,owid/energy-data,https://ourworldindata.org/energy,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,2020-09-08 15:21:25,2023-01-02 18:08:09,2023-01-02 18:08:06,221,15.0,58.0,9.0,21.0,6.0,153,7.0,0,True,,,,,,,,,,,,,,,,,,,,,
1,COVID-EMDA,data,['python'],True,tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2022-05-16 00:06:28,2022-05-16 00:06:28,979,,17.0,6.0,,,53,5.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,
2,Pyomo,opl,"['python', 'jupyter']",,Pyomo/pyomo,https://www.pyomo.org,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,2016-05-27 19:33:45,2023-02-02 15:30:31,2023-01-31 23:50:19,19542,593.0,405.0,57.0,1572.0,843.0,1421,123.0,36,True,298.0,Pyomo,pyomo,https://pyomo.readthedocs.io/en/stable/,2022-12-09 22:23:30,6.4.4,648.0,110399.0,6.0,1160.0,1160.0,https://pypi.org/project/Pyomo,110345.0,https://anaconda.org/anaconda/pyomo,1.0,,,,,,
3,pandapower,steady-state,['python'],,e2nIEE/pandapower,https://www.pandapower.org/,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,2017-01-12 13:27:53,2023-02-02 11:20:43,2023-02-02 10:41:50,7338,288.0,391.0,46.0,960.0,646.0,582,101.0,32,True,150.0,pandapower,pandapower,https://pandapower.readthedocs.io/en/latest/,2023-01-02 15:34:50,2.11.1,,14996.0,31.0,194.0,194.0,https://pypi.org/project/pandapower,14995.0,https://anaconda.org/anaconda/pandapower,1.0,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,86.0,,
4,PyPSA,steady-state,['python'],,PyPSA/PyPSA,https://pypsa.org,MIT,Simulating and optimising power and energy systems.,https://github.com/PyPSA/PyPSA,2016-01-11 09:04:18,2023-02-02 17:05:14,2023-02-02 17:05:13,1717,129.0,324.0,61.0,313.0,172.0,771,56.0,29,True,59.0,pypsa,pypsa,https://pypsa.readthedocs.io/en/latest/,2022-12-16 09:27:37,0.21.3,,2638.0,40.0,83.0,83.0,https://pypi.org/project/pypsa,2638.0,https://anaconda.org/anaconda/pypsa,1.0,,,,,,
5,OpenModelica,cosime,,,OpenModelica/OpenModelica,https://openmodelica.org,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,2015-05-03 16:59:29,2023-02-02 16:36:48,2023-02-02 13:40:45,35683,228.0,233.0,54.0,3306.0,5186.0,568,178.0,28,True,1576.0,,,https://openmodelica.org/useresresources/userdocumentation,2023-02-02 13:01:22,1.14.0,341.0,193.0,15.0,,,,,,1.0,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2023-01-26 12:25:23.123206,17743.0,5.0,1.0
6,JuMP,opl,"['julia', 'jupyter']",,jump-dev/JuMP.jl,https://jump.dev,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,2012-10-10 00:34:45,2023-02-02 00:36:01,2023-01-31 19:51:07,4524,63.0,360.0,83.0,1855.0,1305.0,1888,137.0,25,True,11.0,,,https://jump.dev/JuMP.jl/stable/,2023-01-25 02:33:32,1.7.0,,,49.0,,,,,,3.0,,,,,,
7,HiGHS,ops,['python'],,ERGO-Code/HiGHS,https://highs.dev/,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,2018-03-27 13:57:58,2023-02-02 15:55:55,2023-01-18 18:21:36,7681,156.0,96.0,22.0,707.0,317.0,472,45.0,24,True,60.0,scikit-highs,,https://ergo-code.github.io/HiGHS/,2023-02-01 11:51:31,1.4.2,,54.0,8.0,5.0,5.0,https://pypi.org/project/scikit-highs,54.0,,1.0,,,,,,
8,Grid2Op,mrl,"['python', 'jupyter']",,rte-france/Grid2Op,https://l2rpn.chalearn.org/,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/rte-france/Grid2Op,2019-10-10 17:04:46,2023-01-25 08:45:34,2023-01-11 11:47:49,2188,47.0,85.0,16.0,149.0,204.0,199,22.0,24,True,37.0,Grid2Op,,https://grid2op.readthedocs.io/en/latest/,2023-01-11 13:01:28,1.8.1,,1247.0,18.0,,,https://pypi.org/project/Grid2Op,1038.0,,1.0,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,8371.0,1.0,
9,Ipopt,ops,['python'],,coin-or/Ipopt,https://github.com/coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,2019-01-28 12:24:22,2023-02-02 03:03:57,2023-02-02 03:02:32,2298,7.0,209.0,37.0,14.0,514.0,957,22.0,23,True,4.0,ipopt,ipopt,https://coin-or.github.io/Ipopt/,2022-10-11 08:16:53,releases/3.14.10,6307.0,2455.0,16.0,,,https://pypi.org/project/ipopt,2270.0,https://anaconda.org/anaconda/ipopt,3.0,,,,,,
